Year,City,Rooms,Rent per m2,Rental apartment count,Sales price per m2,Sold apartments count,Total population
2011,Helsinki,1,18.83,9050,4645,3154,591966.5
2011,Helsinki,2,14.2,5949,3966,4973,591966.5
2011,Helsinki,3,12.22,2181,3987,3476,591966.5
2011,Espoo-Kauniainen,1,15.72,1217,3525,370,258952.5
2011,Espoo-Kauniainen,2,13.88,1318,3209,1085,258952.5
2011,Espoo-Kauniainen,3,11.69,661,2959,1225,258952.5
2011,Vantaa,1,14.54,1243,3177,398,201528.0
2011,Vantaa,2,12.62,1343,2675,1107,201528.0
2011,Vantaa,3,11.36,830,2429,887,201528.0
2011,Porvoo,1,13.82,263,2811,95,48800.5
2011,Porvoo,2,10.65,289,2393,192,48800.5
2011,Porvoo,3,9.39,143,2264,119,48800.5
2011,Tampere,1,14.26,4264,2691,836,214192.5
2011,Tampere,2,11.36,3715,2348,1722,214192.5
2011,Tampere,3,10.03,1256,2244,1105,214192.5
2011,Turku,1,13.69,4120,2444,729,177978.0
2011,Turku,2,10.68,2897,1980,1503,177978.0
2011,Turku,3,9.27,1140,1846,1088,177978.0
2011,Pori,1,11.68,1465,1738,268,85052.0
2011,Pori,2,9.22,1486,1451,615,85052.0
2011,Pori,3,8.18,629,1438,341,85052.0
2011,Lappeenranta,1,13.01,742,1950,181,72057.5
2011,Lappeenranta,2,10.37,678,1804,403,72057.5
2011,Lappeenranta,3,9.13,285,1803,231,72057.5
2011,Kotka,1,11.92,848,1287,216,54827.5
2011,Kotka,2,9.48,707,1284,348,54827.5
2011,Kotka,3,8.43,269,1415,180,54827.5
2011,Kouvola,1,11.06,918,1115,172,87819.5
2011,Kouvola,2,9.01,901,1163,395,87819.5
2011,Kouvola,3,7.56,397,1188,215,87819.5
2011,Lahti,1,13.22,1882,1977,391,116958.5
2011,Lahti,2,10.71,1727,1731,961,116958.5
2011,Lahti,3,9.35,623,1726,635,116958.5
2011,Hämeenlinna,1,13.18,705,2032,168,67049.5
2011,Hämeenlinna,2,10.83,697,1882,334,67049.5
2011,Hämeenlinna,3,9.04,264,1860,201,67049.5
2011,Kuopio,1,13.81,1304,2353,248,112627.5
2011,Kuopio,2,10.8,1557,1983,724,112627.5
2011,Kuopio,3,9.22,515,1992,498,112627.5
2011,Jyväskylä,1,14.21,1739,2153,371,131439.0
2011,Jyväskylä,2,10.75,2219,1811,959,131439.0
2011,Jyväskylä,3,9.62,731,1818,472,131439.0
2011,Vaasa,1,12.58,763,2111,187,64759.0
2011,Vaasa,2,10.15,845,1925,414,64759.0
2011,Vaasa,3,8.51,389,1857,329,64759.0
2011,Seinäjoki,1,11.84,535,1808,47,58257.0
2011,Seinäjoki,2,9.91,735,1692,179,58257.0
2011,Seinäjoki,3,8.46,319,1580,126,58257.0
2011,Mikkeli,1,12.34,499,1800,121,54492.5
2011,Mikkeli,2,9.97,506,1686,262,54492.5
2011,Mikkeli,3,8.63,194,1635,200,54492.5
2011,Joensuu,1,13.41,1089,2416,165,73531.5
2011,Joensuu,2,10.11,1099,2077,304,73531.5
2011,Joensuu,3,9.28,402,1854,221,73531.5
2011,Oulu,1,13.1,2494,2020,302,186766.5
2011,Oulu,2,10.43,2981,1732,883,186766.5
2011,Oulu,3,9.28,1098,1720,557,186766.5
2011,Rovaniemi,1,13.29,833,1917,126,60363.5
2011,Rovaniemi,2,10.65,979,1600,296,60363.5
2011,Rovaniemi,3,8.93,415,1506,192,60363.5
2012,Helsinki,1,19.64,8577,4914,2968,599676.0
2012,Helsinki,2,14.93,5831,4135,4836,599676.0
2012,Helsinki,3,12.93,2228,4042,3766,599676.0
2012,Espoo-Kauniainen,1,16.24,1231,3878,335,263490.0
2012,Espoo-Kauniainen,2,14.23,1305,3364,1114,263490.0
2012,Espoo-Kauniainen,3,12.48,675,3073,1228,263490.0
2012,Vantaa,1,15.4,1337,3290,429,204156.5
2012,Vantaa,2,13.15,1361,2766,1109,204156.5
2012,Vantaa,3,11.56,783,2550,945,204156.5
2012,Porvoo,1,14.1,276,2929,73,48930.5
2012,Porvoo,2,11.18,303,2431,189,48930.5
2012,Porvoo,3,9.49,166,2311,105,48930.5
2012,Tampere,1,14.63,4124,2761,835,216294.5
2012,Tampere,2,11.64,3421,2405,1704,216294.5
2012,Tampere,3,10.31,1119,2308,1128,216294.5
2012,Turku,1,14.14,3996,2495,578,179427.5
2012,Turku,2,10.96,2856,2035,1430,179427.5
2012,Turku,3,9.67,1049,1899,1076,179427.5
2012,Pori,1,11.93,1299,1724,228,85139.5
2012,Pori,2,9.45,1340,1398,555,85139.5
2012,Pori,3,8.42,557,1496,316,85139.5
2012,Lappeenranta,1,13.36,691,2030,172,72278.5
2012,Lappeenranta,2,10.59,584,1816,367,72278.5
2012,Lappeenranta,3,9.31,257,1864,214,72278.5
2012,Kotka,1,12.35,786,1291,173,54852.0
2012,Kotka,2,9.82,656,1353,289,54852.0
2012,Kotka,3,8.62,247,1533,185,54852.0
2012,Kouvola,1,11.27,928,1149,167,87431.5
2012,Kouvola,2,9.32,858,1180,389,87431.5
2012,Kouvola,3,7.74,358,1196,202,87431.5
2012,Lahti,1,13.69,1625,2047,353,117716.5
2012,Lahti,2,11.07,1532,1771,831,117716.5
2012,Lahti,3,9.65,554,1735,595,117716.5
2012,Hämeenlinna,1,13.57,590,2156,138,67383.5
2012,Hämeenlinna,2,11.06,605,1934,297,67383.5
2012,Hämeenlinna,3,9.7,259,1828,195,67383.5
2012,Kuopio,1,14.26,1322,2376,200,113487.0
2012,Kuopio,2,11.26,1441,2014,690,113487.0
2012,Kuopio,3,9.71,491,1905,496,113487.0
2012,Jyväskylä,1,14.64,1708,2091,316,132772.0
