Year,Rooms,Rent per m2,Rental apartment count,Sales price per m2,Sold apartments count,Municipality name,Municipality group name,Region name,Area name,Total population,0 - 14,15 - 24,25 - 44,45 - 64,65 - 74,75 -
2009.0,1,,0.0,1131.0,20.0,Akaa,Taajaan asutut kunnat,Pirkanmaa,Länsi-Suomi,16847.5,3164.0,1666.5,4302.0,4810.0,1456.5,1448.5
2009.0,2,,0.0,1001.0,46.0,Akaa,Taajaan asutut kunnat,Pirkanmaa,Länsi-Suomi,16847.5,3164.0,1666.5,4302.0,4810.0,1456.5,1448.5
2009.0,3,,0.0,961.5,36.0,Akaa,Taajaan asutut kunnat,Pirkanmaa,Länsi-Suomi,16847.5,3164.0,1666.5,4302.0,4810.0,1456.5,1448.5
2009.0,3,,0.0,1434.0,8.0,Alajärvi,Taajaan asutut kunnat,Etelä-Pohjanmaa,Länsi-Suomi,10603.5,1981.5,1317.0,2015.5,3143.0,1027.5,1119.0
2009.0,2,,0.0,1024.0,11.0,Asikkala,Taajaan asutut kunnat,Päijät-Häme,Etelä-Suomi,8577.5,1311.0,803.0,1668.5,2860.0,1048.5,886.5
2009.0,3,,0.0,1190.0,7.0,Asikkala,Taajaan asutut kunnat,Päijät-Häme,Etelä-Suomi,8577.5,1311.0,803.0,1668.5,2860.0,1048.5,886.5
2009.0,1,,0.0,3146.1176470588234,328.0,Espoo,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,242947.5,47754.5,31735.0,74231.0,63201.5,15596.5,10429.0
2009.0,2,,0.0,2777.7916666666665,1088.0,Espoo,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,242947.5,47754.5,31735.0,74231.0,63201.5,15596.5,10429.0
2009.0,3,,0.0,2584.68,1089.0,Espoo,Kaupunkimaiset kunnat,Uusimaa,Helsinki-Uusimaa,242947.5,47754.5,31735.0,74231.0,63201.5,15596.5,10429.0
2009.0,2,,0.0,1212.0,11.0,Eura,Taajaan asutut kunnat,Satakunta,Länsi-Suomi,12565.0,2113.5,1291.0,2702.5,3763.5,1365.5,1329.0
2009.0,1,,0.0,985.0,63.0,Forssa,Kaupunkimaiset kunnat,Kanta-Häme,Etelä-Suomi,17838.5,2503.0,2082.0,3839.0,5620.0,1945.0,1849.5
