Municipality name,Year,Total population,0 - 14,15 - 24,25 - 44,45 - 64,65 - 74,75 -
Akaa,2021,16264,2628,1479,3621,4482,2368,1686
Akaa,2022,16142,2519,1489,3534,4468,2357,1775
Akaa,2023,16023,2438,1473,3448,4478,2283,1903
Akaa,2024,15906,2356,1451,3394,4461,2244,2000
Akaa,2025,15795,2267,1446,3314,4477,2215,2076
Akaa,2026,15692,2183,1438,3262,4476,2170,2163
Akaa,2027,15595,2096,1438,3207,4474,2143,2237
Akaa,2028,15502,2026,1425,3143,4478,2144,2286
Akaa,2029,15414,1973,1392,3113,4443,2142,2351
Akaa,2030,15326,1924,1358,3085,4418,2132,2409
Akaa,2031,15246,1891,1311,3057,4396,2109,2482
Akaa,2032,15171,1870,1257,3047,4355,2104,2538
Akaa,2033,15102,1875,1184,3028,4311,2132,2572
Akaa,2034,15040,1861,1137,3021,4280,2134,2607
Akaa,2035,14987,1853,1092,3002,4264,2141,2635
Akaa,2036,14943,1838,1063,2995,4270,2122,2655
Akaa,2037,14905,1826,1039,2977,4278,2108,2677
Akaa,2038,14871,1815,1021,2962,4289,2083,2701
Akaa,2039,14838,1805,1005,2943,4271,2078,2736
Akaa,2040,14805,1797,990,2932,4249,2079,2758
Alajärvi,2021,9303,1587,920,1633,2443,1525,1195
Alajärvi,2022,9181,1532,916,1594,2386,1519,1234
Alajärvi,2023,9064,1471,913,1577,2311,1501,1291
Alajärvi,2024,8951,1423,900,1545,2258,1489,1336
Alajärvi,2025,8841,1360,913,1502,2194,1484,1388
Alajärvi,2026,8730,1307,907,1479,2152,1438,1447
Alajärvi,2027,8621,1260,899,1463,2096,1407,1496
Alajärvi,2028,8512,1229,873,1435,2028,1422,1525
Alajärvi,2029,8407,1194,854,1408,2000,1385,1566
Alajärvi,2030,8307,1159,838,1397,1948,1383,1582
Alajärvi,2031,8210,1136,810,1389,1910,1335,1630
Alajärvi,2032,8115,1116,781,1370,1865,1324,1659
Alajärvi,2033,8025,1099,753,1358,1845,1279,1691
Alajärvi,2034,7943,1087,725,1349,1833,1231,1718
Alajärvi,2035,7861,1078,696,1342,1823,1167,1755
Alajärvi,2036,7780,1066,673,1332,1820,1127,1762
Alajärvi,2037,7705,1056,653,1317,1814,1094,1771
Alajärvi,2038,7632,1047,638,1309,1808,1029,1801
Alajärvi,2039,7561,1039,623,1301,1794,1006,1798
Alajärvi,2040,7491,1031,611,1295,1773,980,1801
Alavieska,2021,2495,479,270,479,629,342,296
Alavieska,2022,2471,465,273,469,618,345,301
Alavieska,2023,2445,447,277,465,595,351,310
Alavieska,2024,2421,437,276,448,586,356,318
Alavieska,2025,2397,421,279,442,570,354,331
Alavieska,2026,2375,409,278,428,570,346,344
Alavieska,2027,2352,393,281,416,561,351,350
Alavieska,2028,2329,382,277,409,554,348,359
Alavieska,2029,2308,366,281,402,536,356,367
Alavieska,2030,2285,352,282,394,530,348,379
Alavieska,2031,2263,349,271,391,516,347,389
Alavieska,2032,2241,344,261,383,511,346,396
Alavieska,2033,2220,336,255,379,507,333,410
Alavieska,2034,2199,336,241,378,499,325,420
Alavieska,2035,2179,334,230,373,502,311,429
Alavieska,2036,2163,332,221,370,496,310,434
Alavieska,2037,2146,329,213,368,496,297,443
Alavieska,2038,2128,326,207,363,500,284,448
Alavieska,2039,2114,324,202,361,500,268,459
Alavieska,2040,2098,322,197,359,493,265,462
Alavus,2021,11197,1836,1092,2102,2832,1795,1540
Alavus,2022,11068,1795,1081,2047,2768,1795,1582
Alavus,2023,10942,1738,1080,2026,2721,1751,1626
Alavus,2024,10815,1706,1054,1982,2658,1719,1696
Alavus,2025,10686,1655,1046,1933,2627,1689,1736
Alavus,2026,10562,1619,1022,1884,2577,1670,1790
Alavus,2027,10443,1571,1018,1835,2561,1606,1852
Alavus,2028,10325,1540,996,1790,2513,1617,1869
Alavus,2029,10213,1489,993,1737,2468,1588,1938
Alavus,2030,10100,1458,966,1701,2444,1541,1990
Alavus,2031,9992,1424,948,1674,2397,1494,2055
Alavus,2032,9886,1384,941,1644,2365,1467,2085
Alavus,2033,9783,1368,908,1629,2348,1450,2080
Alavus,2034,9683,1347,885,1613,2309,1423,2106
Alavus,2035,9584,1325,861,1595,2275,1419,2109
Alavus,2036,9486,1304,842,1571,2256,1383,2130
Alavus,2037,9390,1285,820,1553,2262,1352,2118
Alavus,2038,9298,1268,803,1537,2260,1297,2133
Alavus,2039,9208,1253,782,1519,2251,1246,2157
Alavus,2040,9117,1241,763,1502,2229,1231,2151
