Year,Postal code,Rooms,Rent per m2,Rental apartment count
2015,100,1,24.7325,1820
2015,100,2,18.3975,993
2015,100,3,14.1425,156
2015,120,1,22.6525,410
2015,120,2,14.8325,242
2015,130,1,26.435000000000002,92
2015,130,2,21.41,21
2015,140,1,23.975,647
2015,140,2,15.39,226
2015,150,1,23.384999999999998,1252
2015,150,2,17.83,584
2015,150,3,22.195,198
2015,160,1,24.5075,202
2015,160,2,21.74,55
2015,170,1,25.53,545
2015,170,2,18.3525,281
2015,180,1,23.4075,950
2015,180,2,18.55,749
2015,180,3,14.895,350
2015,200,1,23.0275,1563
2015,200,2,14.14,913
2015,200,3,13.855,200
2015,210,1,20.805,236
2015,210,2,15.3725,215
2015,240,2,11.645,43
2015,250,1,25.22,1500
2015,250,2,16.6425,882
2015,250,3,13.912500000000001,109
2015,260,1,24.9575,512
2015,260,2,18.8875,301
2015,270,1,25.565,809
2015,270,2,14.865,562
2015,270,3,10.85,42
2015,280,1,23.59,152
2015,280,2,14.41,153
2015,300,1,24.12,242
2015,310,1,21.51,67
2015,320,1,23.73,1327
2015,320,2,14.975000000000001,553
2015,320,3,11.9225,106
2015,330,1,23.37,528
2015,330,2,15.46,368
2015,330,3,14.9975,178
2015,350,1,25.415,1142
2015,350,2,17.695,626
2015,360,1,23.490000000000002,210
2015,360,2,16.37,124
2015,370,1,21.6025,176
2015,380,2,17.82,20
2015,390,1,21.0375,318
2015,390,2,16.9575,475
2015,400,1,24.580000000000002,627
2015,400,2,13.8525,348
2015,410,2,13.113333333333335,81
2015,420,1,20.6925,920
2015,420,2,15.342500000000001,852
2015,420,3,14.58,193
2015,440,1,20.59,266
2015,440,2,15.925,288
2015,500,1,23.9975,3536
2015,500,2,18.195,1292
2015,500,3,16.47,61
2015,510,1,22.677500000000002,1886
2015,510,2,13.6375,514
2015,520,1,22.7125,507
2015,530,1,23.0325,3213
2015,530,2,15.64,1323
2015,530,3,15.020000000000001,293
2015,550,1,21.415,819
2015,550,2,15.3725,550
2015,560,1,21.802500000000002,261
2015,560,2,19.4675,520
2015,560,3,18.44,39
2015,570,1,22.2225,244
2015,570,2,16.7975,192
2015,570,3,14.606666666666667,70
2015,610,1,19.72,237
2015,610,2,14.5625,273
2015,620,2,13.4,116
2015,630,1,20.875,283
2015,630,2,15.822500000000002,196
2015,640,1,20.165,384
2015,640,2,15.035,353
2015,640,3,14.86,81
2015,700,1,19.9675,294
2015,700,2,16.060000000000002,448
2015,700,3,13.925,147
2015,710,1,17.9375,533
2015,710,2,14.2175,466
2015,710,3,14.4,96
2015,720,1,19.2125,252
2015,720,2,14.165,225
2015,720,3,15.465,151
2015,730,1,19.205,136
2015,730,2,15.3775,210
2015,740,1,18.072499999999998,121
2015,740,2,15.353333333333333,110
2015,740,3,13.63,61
2015,790,2,13.845,135
2015,800,1,22.4825,304
2015,800,2,14.3575,175
2015,810,1,20.372500000000002,173
2015,810,2,15.5975,314
2015,810,3,15.9,223
2015,820,1,22.465,476
2015,820,2,15.57,462
2015,840,1,21.045,372
2015,840,2,14.93,237
2015,900,1,20.565,215
2015,900,2,14.7275,148
2015,910,1,20.6875,560
2015,910,2,17.0425,619
2015,920,1,20.3975,194
2015,920,2,15.1875,431
2015,920,3,14.08,149
2015,940,1,20.314999999999998,806
2015,940,2,14.985,1033
2015,940,3,14.469999999999999,786
2015,960,1,18.92,378
2015,960,2,14.8425,420
2015,970,1,18.7725,260
2015,970,2,13.9375,306
2015,970,3,13.325,123
2015,980,1,19.4025,238
2015,980,2,18.09,710
2015,980,3,15.6225,418
2015,990,1,22.6575,148
2015,990,2,19.745,481
2015,990,3,17.596666666666668,139
2015,1200,1,18.545,283
2015,1200,2,14.385,583
2015,1200,3,13.53,456
2015,1280,1,18.2425,353
2015,1280,2,14.39,232
2015,1280,3,12.625,140
