Year,City,Rooms,Rent per m2,Rental apartment count
2011,Helsinki,1,18.83,9050
2011,Helsinki,2,14.2,5949
2011,Helsinki,3,12.22,2181
2011,Espoo-Kauniainen,1,15.72,1217
2011,Espoo-Kauniainen,2,13.88,1318
2011,Espoo-Kauniainen,3,11.69,661
2011,Vantaa,1,14.54,1243
2011,Vantaa,2,12.62,1343
2011,Vantaa,3,11.36,830
2011,Porvoo,1,13.82,263
2011,Porvoo,2,10.65,289
2011,Porvoo,3,9.39,143
2011,Tampere,1,14.26,4264
2011,Tampere,2,11.36,3715
2011,Tampere,3,10.03,1256
2011,Turku,1,13.69,4120
2011,Turku,2,10.68,2897
2011,Turku,3,9.27,1140
2011,Pori,1,11.68,1465
2011,Pori,2,9.22,1486
2011,Pori,3,8.18,629
2011,Lappeenranta,1,13.01,742
2011,Lappeenranta,2,10.37,678
2011,Lappeenranta,3,9.13,285
2011,Kotka,1,11.92,848
2011,Kotka,2,9.48,707
2011,Kotka,3,8.43,269
2011,Kouvola,1,11.06,918
2011,Kouvola,2,9.01,901
2011,Kouvola,3,7.56,397
2011,Lahti,1,13.22,1882
2011,Lahti,2,10.71,1727
2011,Lahti,3,9.35,623
2011,Hämeenlinna,1,13.18,705
2011,Hämeenlinna,2,10.83,697
2011,Hämeenlinna,3,9.04,264
2011,Kuopio,1,13.81,1304
2011,Kuopio,2,10.8,1557
2011,Kuopio,3,9.22,515
2011,Jyväskylä,1,14.21,1739
2011,Jyväskylä,2,10.75,2219
2011,Jyväskylä,3,9.62,731
2011,Vaasa,1,12.58,763
2011,Vaasa,2,10.15,845
2011,Vaasa,3,8.51,389
2011,Seinäjoki,1,11.84,535
2011,Seinäjoki,2,9.91,735
2011,Seinäjoki,3,8.46,319
2011,Mikkeli,1,12.34,499
2011,Mikkeli,2,9.97,506
2011,Mikkeli,3,8.63,194
2011,Joensuu,1,13.41,1089
2011,Joensuu,2,10.11,1099
2011,Joensuu,3,9.28,402
2011,Oulu,1,13.1,2494
2011,Oulu,2,10.43,2981
2011,Oulu,3,9.28,1098
2011,Rovaniemi,1,13.29,833
2011,Rovaniemi,2,10.65,979
2011,Rovaniemi,3,8.93,415
2012,Helsinki,1,19.64,8577
2012,Helsinki,2,14.93,5831
2012,Helsinki,3,12.93,2228
2012,Espoo-Kauniainen,1,16.24,1231
2012,Espoo-Kauniainen,2,14.23,1305
2012,Espoo-Kauniainen,3,12.48,675
2012,Vantaa,1,15.4,1337
2012,Vantaa,2,13.15,1361
2012,Vantaa,3,11.56,783
2012,Porvoo,1,14.1,276
2012,Porvoo,2,11.18,303
2012,Porvoo,3,9.49,166
2012,Tampere,1,14.63,4124
2012,Tampere,2,11.64,3421
2012,Tampere,3,10.31,1119
2012,Turku,1,14.14,3996
2012,Turku,2,10.96,2856
2012,Turku,3,9.67,1049
2012,Pori,1,11.93,1299
2012,Pori,2,9.45,1340
2012,Pori,3,8.42,557
2012,Lappeenranta,1,13.36,691
2012,Lappeenranta,2,10.59,584
2012,Lappeenranta,3,9.31,257
2012,Kotka,1,12.35,786
2012,Kotka,2,9.82,656
2012,Kotka,3,8.62,247
2012,Kouvola,1,11.27,928
2012,Kouvola,2,9.32,858
2012,Kouvola,3,7.74,358
2012,Lahti,1,13.69,1625
2012,Lahti,2,11.07,1532
2012,Lahti,3,9.65,554
2012,Hämeenlinna,1,13.57,590
2012,Hämeenlinna,2,11.06,605
2012,Hämeenlinna,3,9.7,259
2012,Kuopio,1,14.26,1322
2012,Kuopio,2,11.26,1441
2012,Kuopio,3,9.71,491
2012,Jyväskylä,1,14.64,1708
2012,Jyväskylä,2,11.09,2170
2012,Jyväskylä,3,9.84,691
2012,Vaasa,1,13.08,740
2012,Vaasa,2,10.41,798
2012,Vaasa,3,8.92,354
2012,Seinäjoki,1,12.46,495
2012,Seinäjoki,2,10.15,646
2012,Seinäjoki,3,8.59,290
2012,Mikkeli,1,13.04,461
2012,Mikkeli,2,10.58,472
2012,Mikkeli,3,8.8,173
2012,Joensuu,1,14.02,1129
2012,Joensuu,2,10.46,1098
2012,Joensuu,3,9.35,387
2012,Oulu,1,13.44,2331
2012,Oulu,2,10.69,2513
2012,Oulu,3,9.66,881
2012,Rovaniemi,1,13.7,872
2012,Rovaniemi,2,10.86,900
2012,Rovaniemi,3,8.94,362
2013,Helsinki,1,20.42,9045
2013,Helsinki,2,15.63,6183
2013,Helsinki,3,13.77,2309
2013,Espoo-Kauniainen,1,16.93,1375
2013,Espoo-Kauniainen,2,14.55,1459
2013,Espoo-Kauniainen,3,12.45,720
2013,Vantaa,1,16.13,1434
2013,Vantaa,2,13.62,1529
2013,Vantaa,3,12.41,827
2013,Porvoo,1,14.47,308
2013,Porvoo,2,11.42,296
2013,Porvoo,3,9.63,160
2013,Tampere,1,15.15,4499
2013,Tampere,2,12.18,3606
2013,Tampere,3,10.7,1270
2013,Turku,1,14.6,4306
2013,Turku,2,11.32,3052
2013,Turku,3,9.82,1118
2013,Pori,1,12.4,1381
2013,Pori,2,9.86,1399
2013,Pori,3,8.61,564
2013,Lappeenranta,1,13.68,687
2013,Lappeenranta,2,10.94,645
2013,Lappeenranta,3,9.64,232
2013,Kotka,1,12.65,799
2013,Kotka,2,10.07,741
2013,Kotka,3,8.83,296
2013,Kouvola,1,11.57,964
2013,Kouvola,2,9.71,949
2013,Kouvola,3,8.58,370
2013,Lahti,1,14.31,1752
2013,Lahti,2,11.45,1700
2013,Lahti,3,10.05,571
2013,Hämeenlinna,1,13.87,624
2013,Hämeenlinna,2,11.15,630
2013,Hämeenlinna,3,10.07,242
2013,Kuopio,1,14.75,1425
2013,Kuopio,2,11.64,1611
2013,Kuopio,3,10.28,510
2013,Jyväskylä,1,15.08,1835
2013,Jyväskylä,2,11.63,2371
2013,Jyväskylä,3,10.39,748
2013,Vaasa,1,13.61,773
2013,Vaasa,2,10.6,868
2013,Vaasa,3,9.46,379
2013,Seinäjoki,1,12.79,536
2013,Seinäjoki,2,10.63,784
2013,Seinäjoki,3,9.17,310
2013,Mikkeli,1,13.26,566
2013,Mikkeli,2,10.77,557
2013,Mikkeli,3,9.11,229
2013,Joensuu,1,14.47,1159
2013,Joensuu,2,10.84,1158
2013,Joensuu,3,9.82,392
2013,Oulu,1,13.7,2658
2013,Oulu,2,10.9,3045
2013,Oulu,3,9.66,1150
2013,Rovaniemi,1,13.82,871
2013,Rovaniemi,2,11.13,1045
2013,Rovaniemi,3,9.41,422
2014,Helsinki,1,21.55,9710
2014,Helsinki,2,16.36,6623
2014,Helsinki,3,14.31,2540
2014,Espoo-Kauniainen,1,18.0,1432
2014,Espoo-Kauniainen,2,15.49,1578
2014,Espoo-Kauniainen,3,13.37,785
2014,Vantaa,1,16.85,1650
2014,Vantaa,2,14.34,1836
2014,Vantaa,3,13.03,971
2014,Porvoo,1,14.77,398
2014,Porvoo,2,11.74,354
2014,Porvoo,3,10.24,185
2014,Tampere,1,15.7,4954
2014,Tampere,2,12.54,4197
2014,Tampere,3,11.01,1485
2014,Turku,1,14.98,4630
2014,Turku,2,11.47,3346
2014,Turku,3,9.99,1236
2014,Pori,1,12.51,1545
2014,Pori,2,9.92,1677
2014,Pori,3,8.71,678
2014,Lappeenranta,1,14.21,720
2014,Lappeenranta,2,11.24,758
2014,Lappeenranta,3,9.51,268
2014,Kotka,1,12.92,905
2014,Kotka,2,10.26,905
2014,Kotka,3,8.89,309
2014,Kouvola,1,11.85,1039
2014,Kouvola,2,9.73,1039
2014,Kouvola,3,8.64,408
