Year,Postal code,Rooms,Sales price per m2,Sold apartments count
2009,100,1,4817,116
2009,100,2,4470,167
2009,100,3,4234,122
2009,120,1,5040,51
2009,120,2,5044,70
2009,120,3,5122,60
2009,130,1,5436,11
2009,130,2,5333,11
2009,130,3,5209,14
2009,140,1,5390,98
2009,140,2,5060,88
2009,140,3,5421,57
2009,150,1,4906,174
2009,150,2,4811,118
2009,150,3,5422,61
2009,160,1,4838,14
2009,160,2,4943,24
2009,160,3,5184,44
2009,170,1,4891,68
2009,170,2,4575,71
2009,170,3,4823,65
2009,180,1,4879,103
2009,180,2,4564,107
2009,180,3,4436,60
2009,200,1,4082,114
2009,200,2,3616,200
2009,200,3,3724,153
2009,210,1,4260,17
2009,210,2,4193,50
2009,210,3,4464,67
2009,240,2,2860,19
2009,240,3,2822,16
2009,250,1,4562,108
2009,250,2,4257,158
2009,250,3,3968,66
2009,260,1,4800,45
2009,260,2,4401,49
2009,260,3,4358,54
2009,270,1,4707,76
2009,270,2,3951,101
2009,270,3,3747,55
2009,280,1,4015,14
2009,280,2,3807,23
2009,280,3,3562,20
2009,300,3,3527,30
2009,310,1,2951,11
2009,310,2,2564,7
2009,310,3,2962,7
2009,320,1,3748,103
2009,320,2,3011,131
2009,320,3,2957,70
2009,330,1,4259,21
2009,330,2,3840,70
2009,330,3,3959,81
2009,340,3,3268,13
2009,350,1,3653,54
2009,350,2,3078,92
2009,350,3,2943,71
2009,360,1,3021,16
2009,360,2,2423,35
2009,360,3,2474,16
2009,370,1,3088,23
2009,370,2,2757,31
2009,370,3,2468,19
2009,380,1,3905,29
2009,380,2,3915,12
2009,380,3,3450,15
2009,390,1,2880,13
2009,390,2,2469,52
2009,390,3,2183,28
2009,400,1,3420,34
2009,400,2,2737,101
2009,400,3,2415,71
2009,410,2,2345,33
2009,410,3,2037,36
2009,420,1,2988,36
2009,420,2,2333,99
2009,420,3,2175,65
2009,440,1,3583,18
2009,440,2,2721,38
2009,440,3,2515,27
2009,500,1,3821,394
2009,500,2,3392,164
2009,500,3,3454,33
2009,510,1,3821,223
2009,510,2,3386,135
2009,510,3,3464,26
2009,520,1,3607,31
2009,520,2,3141,64
2009,520,3,2823,23
2009,530,1,4017,331
2009,530,2,3669,241
2009,530,3,3720,76
2009,550,1,3646,106
2009,550,2,3134,117
2009,550,3,3306,19
2009,560,1,3794,26
2009,560,2,3831,61
2009,560,3,3943,36
2009,570,1,3845,16
2009,570,2,3354,25
2009,570,3,3390,41
2009,600,1,3002,9
2009,600,2,2660,6
2009,600,3,2391,10
2009,610,1,3665,25
2009,610,2,3353,60
2009,610,3,2946,45
2009,620,1,3137,8
2009,620,2,2725,24
2009,620,3,2486,10
2009,630,1,2974,27
2009,630,2,2352,40
2009,630,3,2217,47
2009,640,1,3084,29
2009,640,2,2576,65
2009,640,3,2458,27
2009,650,2,2675,13
2009,650,3,2451,9
2009,700,1,3149,34
2009,700,2,2530,64
2009,700,3,2306,46
2009,710,1,2502,25
2009,710,2,2193,81
2009,710,3,1930,65
2009,720,1,3119,24
2009,720,2,2533,54
2009,720,3,2283,53
2009,730,1,3662,20
2009,730,2,2612,45
2009,730,3,2275,26
2009,740,1,2906,6
2009,740,2,2075,34
2009,740,3,2158,23
2009,750,2,2196,28
2009,750,3,1909,24
2009,760,2,2222,8
2009,760,3,1953,7
2009,770,2,1859,17
2009,770,3,1719,22
2009,780,2,2667,28
2009,780,3,2128,15
2009,790,2,3341,41
2009,790,3,3117,43
2009,800,1,3174,49
2009,800,2,2907,61
2009,800,3,2680,36
2009,810,1,3204,11
2009,810,2,3288,49
2009,810,3,3134,57
2009,820,1,3121,23
2009,820,2,2441,76
2009,820,3,2144,64
2009,830,2,2821,11
2009,830,3,3008,9
2009,840,1,3163,26
2009,840,2,2612,38
2009,840,3,2339,48
2009,870,2,2161,14
2009,870,3,2166,13
2009,900,1,2909,16
2009,900,2,2278,31
2009,900,3,2013,23
2009,910,1,2907,37
2009,910,2,2364,69
2009,910,3,2223,49
2009,920,1,2401,15
2009,920,2,2046,56
