Year,City,Rooms,Sales price per m2,Sold apartments count
2011,Helsinki,1,4645,3154
2011,Helsinki,2,3966,4973
2011,Helsinki,3,3987,3476
2011,Espoo-Kauniainen,1,3525,370
2011,Espoo-Kauniainen,2,3209,1085
2011,Espoo-Kauniainen,3,2959,1225
2011,Vantaa,1,3177,398
2011,Vantaa,2,2675,1107
2011,Vantaa,3,2429,887
2011,Porvoo,1,2811,95
2011,Porvoo,2,2393,192
2011,Porvoo,3,2264,119
2011,Turku,1,2444,729
2011,Turku,2,1980,1503
2011,Turku,3,1846,1088
2011,Pori,1,1738,268
2011,Pori,2,1451,615
2011,Pori,3,1438,341
2011,Hämeenlinna,1,2032,168
2011,Hämeenlinna,2,1882,334
2011,Hämeenlinna,3,1860,201
2011,Tampere,1,2691,836
2011,Tampere,2,2348,1722
2011,Tampere,3,2244,1105
2011,Lahti,1,1977,391
2011,Lahti,2,1731,961
2011,Lahti,3,1726,635
2011,Kotka,1,1287,216
2011,Kotka,2,1284,348
2011,Kotka,3,1415,180
2011,Kouvola,1,1115,172
2011,Kouvola,2,1163,395
2011,Kouvola,3,1188,215
2011,Lappeenranta,1,1950,181
2011,Lappeenranta,2,1804,403
2011,Lappeenranta,3,1803,231
2011,Mikkeli,1,1800,121
2011,Mikkeli,2,1686,262
2011,Mikkeli,3,1635,200
2011,Kuopio,1,2353,248
2011,Kuopio,2,1983,724
2011,Kuopio,3,1992,498
2011,Joensuu,1,2416,165
2011,Joensuu,2,2077,304
2011,Joensuu,3,1854,221
2011,Jyväskylä,1,2153,371
2011,Jyväskylä,2,1811,959
2011,Jyväskylä,3,1818,472
2011,Seinäjoki,1,1808,47
2011,Seinäjoki,2,1692,179
2011,Seinäjoki,3,1580,126
2011,Vaasa,1,2111,187
2011,Vaasa,2,1925,414
2011,Vaasa,3,1857,329
2011,Oulu,1,2020,302
2011,Oulu,2,1732,883
2011,Oulu,3,1720,557
2011,Rovaniemi,1,1917,126
2011,Rovaniemi,2,1600,296
2011,Rovaniemi,3,1506,192
2012,Helsinki,1,4914,2968
2012,Helsinki,2,4135,4836
2012,Helsinki,3,4042,3766
2012,Espoo-Kauniainen,1,3878,335
2012,Espoo-Kauniainen,2,3364,1114
2012,Espoo-Kauniainen,3,3073,1228
2012,Vantaa,1,3290,429
2012,Vantaa,2,2766,1109
2012,Vantaa,3,2550,945
2012,Porvoo,1,2929,73
2012,Porvoo,2,2431,189
2012,Porvoo,3,2311,105
2012,Turku,1,2495,578
2012,Turku,2,2035,1430
2012,Turku,3,1899,1076
2012,Pori,1,1724,228
2012,Pori,2,1398,555
2012,Pori,3,1496,316
2012,Hämeenlinna,1,2156,138
2012,Hämeenlinna,2,1934,297
2012,Hämeenlinna,3,1828,195
2012,Tampere,1,2761,835
2012,Tampere,2,2405,1704
2012,Tampere,3,2308,1128
2012,Lahti,1,2047,353
2012,Lahti,2,1771,831
2012,Lahti,3,1735,595
2012,Kotka,1,1291,173
2012,Kotka,2,1353,289
2012,Kotka,3,1533,185
2012,Kouvola,1,1149,167
2012,Kouvola,2,1180,389
2012,Kouvola,3,1196,202
2012,Lappeenranta,1,2030,172
2012,Lappeenranta,2,1816,367
2012,Lappeenranta,3,1864,214
2012,Mikkeli,1,1724,133
2012,Mikkeli,2,1896,252
2012,Mikkeli,3,1647,164
2012,Kuopio,1,2376,200
2012,Kuopio,2,2014,690
2012,Kuopio,3,1905,496
2012,Joensuu,1,2604,139
2012,Joensuu,2,2146,270
2012,Joensuu,3,1879,189
2012,Jyväskylä,1,2091,316
2012,Jyväskylä,2,1795,849
2012,Jyväskylä,3,1745,518
2012,Seinäjoki,1,2291,54
2012,Seinäjoki,2,1811,150
2012,Seinäjoki,3,1851,105
2012,Vaasa,1,2261,157
2012,Vaasa,2,1990,381
2012,Vaasa,3,1860,343
2012,Oulu,1,1950,328
2012,Oulu,2,1744,873
2012,Oulu,3,1736,577
2012,Rovaniemi,1,1923,120
