"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2011";"Koko maa";"Vapaarahoitteinen";"1h";14.46;50921
"2011";"Koko maa";"Vapaarahoitteinen";"2h";11.02;49291
"2011";"Koko maa";"Vapaarahoitteinen";"3h+";9.64;21830
"2011";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"1h";18.18;11510
"2011";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"2h";13.93;8610
"2011";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"3h+";11.98;3672
"2011";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"1h";12.31;39411
"2011";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"2h";9.79;40681
"2011";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"3h+";8.49;18158
"2011";"Etelä-Suomi";"Vapaarahoitteinen";"1h";15.82;26747
"2011";"Etelä-Suomi";"Vapaarahoitteinen";"2h";12.03;22388
"2011";"Etelä-Suomi";"Vapaarahoitteinen";"3h+";10.52;9821
"2011";"Länsi-Suomi";"Vapaarahoitteinen";"1h";12.54;12823
"2011";"Länsi-Suomi";"Vapaarahoitteinen";"2h";9.84;13747
"2011";"Länsi-Suomi";"Vapaarahoitteinen";"3h+";8.45;6084
"2011";"Itä-Suomi";"Vapaarahoitteinen";"1h";11.76;6144
"2011";"Itä-Suomi";"Vapaarahoitteinen";"2h";9.42;6573
"2011";"Itä-Suomi";"Vapaarahoitteinen";"3h+";8.25;2837
"2011";"Pohjois-Suomi";"Vapaarahoitteinen";"1h";12.03;5207
"2011";"Pohjois-Suomi";"Vapaarahoitteinen";"2h";9.67;6583
"2011";"Pohjois-Suomi";"Vapaarahoitteinen";"3h+";8.37;3088
"2011";"Uudenmaan maakunta";"Vapaarahoitteinen";"1h";17.42;14179
"2011";"Uudenmaan maakunta";"Vapaarahoitteinen";"2h";13.23;11423
"2011";"Uudenmaan maakunta";"Vapaarahoitteinen";"3h+";11.41;5093
