"Vuosi";"Alue";"Huoneluku";"Rahoitusmuoto";"Lukumäärä";"Neliövuokra (eur/m2)"
"2015";"Koko maa";"Yksiöt";"Vapaarahoitteinen";172192;16.38
"2015";"Koko maa";"Kaksiot";"Vapaarahoitteinen";175484;11.76
"2015";"Koko maa";"Kolmiot+";"Vapaarahoitteinen";66615;11.27
"2015";"Pääkaupunkiseutu (PKS)";"Yksiöt";"Vapaarahoitteinen";47530;22.07
"2015";"Pääkaupunkiseutu (PKS)";"Kaksiot";"Vapaarahoitteinen";49504;15.58
"2015";"Pääkaupunkiseutu (PKS)";"Kolmiot+";"Vapaarahoitteinen";24959;14.40
"2015";"Muu Suomi (koko maa pl. PKS)";"Yksiöt";"Vapaarahoitteinen";124662;14.15
"2015";"Muu Suomi (koko maa pl. PKS)";"Kaksiot";"Vapaarahoitteinen";125980;10.45
"2015";"Muu Suomi (koko maa pl. PKS)";"Kolmiot+";"Vapaarahoitteinen";41656;9.87
"2015";"Uusimaa";"Yksiöt";"Vapaarahoitteinen";55709;20.89
"2015";"Uusimaa";"Kaksiot";"Vapaarahoitteinen";60086;14.71
"2015";"Uusimaa";"Kolmiot+";"Vapaarahoitteinen";29209;13.74
"2015";"Helsinki";"Yksiöt";"Vapaarahoitteinen";34702;22.97
"2015";"Helsinki";"Kaksiot";"Vapaarahoitteinen";27355;15.97
"2015";"Helsinki";"Kolmiot+";"Vapaarahoitteinen";11993;14.78
"2015";"Helsinki 1";"Yksiöt";"Vapaarahoitteinen";6386;23.65
"2015";"Helsinki 1";"Kaksiot";"Vapaarahoitteinen";3765;16.69
"2015";"Helsinki 1";"Kolmiot+";"Vapaarahoitteinen";1136;15.68
"2015";"Helsinki 2";"Yksiöt";"Vapaarahoitteinen";17703;23.40
"2015";"Helsinki 2";"Kaksiot";"Vapaarahoitteinen";11536;15.97
"2015";"Helsinki 2";"Kolmiot+";"Vapaarahoitteinen";3384;14.84
"2015";"Helsinki 3";"Yksiöt";"Vapaarahoitteinen";3539;23.95
"2015";"Helsinki 3";"Kaksiot";"Vapaarahoitteinen";3229;15.75
"2015";"Helsinki 3";"Kolmiot+";"Vapaarahoitteinen";1382;14.53
"2015";"Helsinki 4";"Yksiöt";"Vapaarahoitteinen";7074;20.26
"2015";"Helsinki 4";"Kaksiot";"Vapaarahoitteinen";8825;15.54
"2015";"Helsinki 4";"Kolmiot+";"Vapaarahoitteinen";6091;14.25
"2015";"Espoo-Kauniainen";"Yksiöt";"Vapaarahoitteinen";6202;19.74
"2015";"Espoo-Kauniainen";"Kaksiot";"Vapaarahoitteinen";9814;14.89
"2015";"Espoo-Kauniainen";"Kolmiot+";"Vapaarahoitteinen";5859;13.78
"2015";"Espoo-Kauniainen 1";"Yksiöt";"Vapaarahoitteinen";1538;20.91
"2015";"Espoo-Kauniainen 1";"Kaksiot";"Vapaarahoitteinen";1701;14.52
"2015";"Espoo-Kauniainen 1";"Kolmiot+";"Vapaarahoitteinen";1133;13.69
"2015";"Espoo-Kauniainen 2";"Yksiöt";"Vapaarahoitteinen";1977;20.13
"2015";"Espoo-Kauniainen 2";"Kaksiot";"Vapaarahoitteinen";3552;15.69
"2015";"Espoo-Kauniainen 2";"Kolmiot+";"Vapaarahoitteinen";1769;14.61
"2015";"Espoo-Kauniainen 3";"Yksiöt";"Vapaarahoitteinen";2687;18.61
"2015";"Espoo-Kauniainen 3";"Kaksiot";"Vapaarahoitteinen";4561;14.27
"2015";"Espoo-Kauniainen 3";"Kolmiot+";"Vapaarahoitteinen";2957;13.29
"2015";"Vantaa";"Yksiöt";"Vapaarahoitteinen";6626;18.73
"2015";"Vantaa";"Kaksiot";"Vapaarahoitteinen";12335;14.87
"2015";"Vantaa";"Kolmiot+";"Vapaarahoitteinen";7107;14.01
"2015";"Vantaa 1";"Yksiöt";"Vapaarahoitteinen";1139;19.44
