"Vuosi";"Alue";"Talotyyppi";"Neliöhinta (EUR/m2)";"Kauppojen lukumäärä, varainsiirtoverotiedot vuoteen 2019 asti";"Kauppojen lukumäärä, varainsiirtoverotiedot vuodesta 2020 alkaen"
"2011";"Koko maa";"Kerrostalo yksiöt";2760;11680;.
"2011";"Koko maa";"Kerrostalo kaksiot";2242;24538;.
"2011";"Koko maa";"Kerrostalo kolmiot+";2365;16491;.
"2011";"Pääkaupunkiseutu (PKS)";"Kerrostalo yksiöt";4438;3922;.
"2011";"Pääkaupunkiseutu (PKS)";"Kerrostalo kaksiot";3728;7165;.
"2011";"Pääkaupunkiseutu (PKS)";"Kerrostalo kolmiot+";3658;5588;.
"2011";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo yksiöt";1914;7758;.
"2011";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo kaksiot";1677;17372;.
"2011";"Koko maa ilman pääkaupunkiseutua";"Kerrostalo kolmiot+";1670;10902;.
"2011";"Suuret kaupungit (yhteensä)";"Kerrostalo yksiöt";.;.;.
"2011";"Suuret kaupungit (yhteensä)";"Kerrostalo kaksiot";.;.;.
"2011";"Suuret kaupungit (yhteensä)";"Kerrostalo kolmiot+";.;.;.
"2011";"Koko maa ilman suuria kaupunkeja";"Kerrostalo yksiöt";.;.;.
"2011";"Koko maa ilman suuria kaupunkeja";"Kerrostalo kaksiot";.;.;.
"2011";"Koko maa ilman suuria kaupunkeja";"Kerrostalo kolmiot+";.;.;.
"2011";"Uusimaa";"Kerrostalo yksiöt";4177;4652;.
"2011";"Uusimaa";"Kerrostalo kaksiot";3427;8999;.
"2011";"Uusimaa";"Kerrostalo kolmiot+";3441;6688;.
"2011";"Helsinki";"Kerrostalo yksiöt";4645;3154;.
"2011";"Helsinki";"Kerrostalo kaksiot";3966;4973;.
"2011";"Helsinki";"Kerrostalo kolmiot+";3987;3476;.
"2011";"Helsinki 1";"Kerrostalo yksiöt";5819;764;.
"2011";"Helsinki 1";"Kerrostalo kaksiot";5734;840;.
"2011";"Helsinki 1";"Kerrostalo kolmiot+";5920;619;.
"2011";"Helsinki 2";"Kerrostalo yksiöt";4589;1599;.
"2011";"Helsinki 2";"Kerrostalo kaksiot";4181;2062;.
"2011";"Helsinki 2";"Kerrostalo kolmiot+";4166;1270;.
"2011";"Helsinki 3";"Kerrostalo yksiöt";3828;297;.
"2011";"Helsinki 3";"Kerrostalo kaksiot";3223;637;.
"2011";"Helsinki 3";"Kerrostalo kolmiot+";3106;487;.
"2011";"Helsinki 4";"Kerrostalo yksiöt";3341;494;.
"2011";"Helsinki 4";"Kerrostalo kaksiot";2631;1434;.
"2011";"Helsinki 4";"Kerrostalo kolmiot+";2387;1100;.
"2011";"Espoo-Kauniainen";"Kerrostalo yksiöt";3525;370;.
"2011";"Espoo-Kauniainen";"Kerrostalo kaksiot";3209;1085;.
"2011";"Espoo-Kauniainen";"Kerrostalo kolmiot+";2959;1225;.
"2011";"Espoo-Kauniainen 1";"Kerrostalo yksiöt";4144;81;.
"2011";"Espoo-Kauniainen 1";"Kerrostalo kaksiot";3761;232;.
"2011";"Espoo-Kauniainen 1";"Kerrostalo kolmiot+";3609;299;.
"2011";"Espoo-Kauniainen 2";"Kerrostalo yksiöt";3626;109;.
"2011";"Espoo-Kauniainen 2";"Kerrostalo kaksiot";3387;385;.
"2011";"Espoo-Kauniainen 2";"Kerrostalo kolmiot+";3082;352;.
"2011";"Espoo-Kauniainen 3";"Kerrostalo yksiöt";3043;180;.
"2011";"Espoo-Kauniainen 3";"Kerrostalo kaksiot";2717;468;.
"2011";"Espoo-Kauniainen 3";"Kerrostalo kolmiot+";2463;574;.
"2011";"Vantaa";"Kerrostalo yksiöt";3177;398;.
"2011";"Vantaa";"Kerrostalo kaksiot";2675;1107;.
"2011";"Vantaa";"Kerrostalo kolmiot+";2429;887;.
"2011";"Vantaa 1";"Kerrostalo yksiöt";3522;77;.
"2011";"Vantaa 1";"Kerrostalo kaksiot";2989;275;.
"2011";"Vantaa 1";"Kerrostalo kolmiot+";2752;223;.
"2011";"Vantaa 2";"Kerrostalo yksiöt";2877;321;.
"2011";"Vantaa 2";"Kerrostalo kaksiot";2353;832;.
"2011";"Vantaa 2";"Kerrostalo kolmiot+";2064;664;.
"2011";"Vantaa 3";"Kerrostalo yksiöt";.;.;.
"2011";"Vantaa 3";"Kerrostalo kaksiot";.;.;.
"2011";"Vantaa 3";"Kerrostalo kolmiot+";.;.;.
"2011";"Kehyskunnat";"Kerrostalo yksiöt";2281;522;.
"2011";"Kehyskunnat";"Kerrostalo kaksiot";2002;1313;.
"2011";"Kehyskunnat";"Kerrostalo kolmiot+";1924;802;.
"2011";"Porvoo";"Kerrostalo yksiöt";2811;95;.
"2011";"Porvoo";"Kerrostalo kaksiot";2393;192;.
"2011";"Porvoo";"Kerrostalo kolmiot+";2264;119;.
"2011";"Hyvinkää";"Kerrostalo yksiöt";2033;117;.
"2011";"Hyvinkää";"Kerrostalo kaksiot";1872;279;.
"2011";"Hyvinkää";"Kerrostalo kolmiot+";1807;155;.
"2011";"Järvenpää";"Kerrostalo yksiöt";2868;68;.
"2011";"Järvenpää";"Kerrostalo kaksiot";2313;202;.
"2011";"Järvenpää";"Kerrostalo kolmiot+";2134;103;.
"2011";"Kerava";"Kerrostalo yksiöt";2691;69;.
"2011";"Kerava";"Kerrostalo kaksiot";2278;219;.
"2011";"Kerava";"Kerrostalo kolmiot+";2175;165;.
"2011";"Varsinais-Suomi";"Kerrostalo yksiöt";2142;1097;.
"2011";"Varsinais-Suomi";"Kerrostalo kaksiot";1771;2438;.
"2011";"Varsinais-Suomi";"Kerrostalo kolmiot+";1731;1628;.
"2011";"Turku";"Kerrostalo yksiöt";2444;729;.
"2011";"Turku";"Kerrostalo kaksiot";1980;1503;.
"2011";"Turku";"Kerrostalo kolmiot+";1846;1088;.
"2011";"Turku 1";"Kerrostalo yksiöt";2773;444;.
"2011";"Turku 1";"Kerrostalo kaksiot";2469;677;.
"2011";"Turku 1";"Kerrostalo kolmiot+";2414;398;.
"2011";"Turku 2";"Kerrostalo yksiöt";2208;110;.
"2011";"Turku 2";"Kerrostalo kaksiot";1838;259;.
"2011";"Turku 2";"Kerrostalo kolmiot+";1770;162;.
"2011";"Turku 3";"Kerrostalo yksiöt";1739;175;.
"2011";"Turku 3";"Kerrostalo kaksiot";1394;567;.
"2011";"Turku 3";"Kerrostalo kolmiot+";1334;528;.
"2011";"Satakunta";"Kerrostalo yksiöt";1624;410;.
"2011";"Satakunta";"Kerrostalo kaksiot";1353;955;.
"2011";"Satakunta";"Kerrostalo kolmiot+";1361;557;.
"2011";"Pori";"Kerrostalo yksiöt";1738;268;.
"2011";"Pori";"Kerrostalo kaksiot";1451;615;.
"2011";"Pori";"Kerrostalo kolmiot+";1438;341;.
"2011";"Pori 1";"Kerrostalo yksiöt";2034;180;.
